player_name,player_id
Franco Armani,214584
Geronimo Rulli,215316
Lisandro Martinez,239301
Guido Rodriguez,225659
Alexis Mac Allister,239837
Julian Alvarez,246191
Hugo Lloris,167948
Alphonse Areola,193105
Steve Mandanda,163705
Benjamin Pavard,226851
Jules Kounde,241486
Raphael Varane,201535
Ibrahima Konate,237678
Adrien Rabiot,210008
Aur�lien Tchouam�ni,241637
Youssouf Fofana,245630
Jordan Veretout,201519
Eduardo Camavinga,248243
Olivier Giroud,178509
Antoine Griezmann,194765
Ousmane Dembele,231443
Randal Kolo Muani,237679
Dominik Livakovic,241671
Ivo Grbic,258390
Domagoj Vida,199206
Borna Barisic,241673
Josip Juranovic,257771
Borna Sosa,243388
Josko Gvardiol,251517
Josip Stanisic,250955
Martin Erlic,244456
Josip Sutalo,256325
Luka Modric,177003
Mateo Kovacic,207410
Marcelo Brozovic,216352
Mario Pasalic,223273
Nikola Vlasic,241095
Lovro Majer,244261
Kristijan Jakic,257889
Luka Sucic,258775
Ivan Perisic,181458
Andrej Kramaric,216354
Bruno Petkovic,215455
Mislav Orsic,221174
Ante Budimir,188335
Marko Livaja,205855
Yassine Bounou,209981
Noussair Mazraoui,236401
Nayef Aguerd,244749
Jawad El Yamiq,241775
Sofyan Amrabat,224158
Selim Amallah,229010
Azzedine Ounahi,255125
Hakim Ziyech,208670
Sofiane Boufal,211381
Zakaria Aboukhlal,248564
Anass Zaroury,260843
Ilias Chair,238490
Youssef En-Nesyri,235410
Abderrazak Hamdallah,213761
Justin Bijlow,232229
Remko Pasveer,162328
Andries Noppert,218212
Daley Blind,190815
Stefan de Vrij,198176
Virgil van Dijk,203376
Matthijs de Ligt,235243
Nathan Ake,208920
Tyrell Malacia,238041
Frenkie de Jong,228702
Steven Berghuis,200260
Teun Koopmeiners,240679
Xavi Simons,245367
Davy Klaassen,203483
Memphis Depay,202556
Luuk de Jong,189805
Vincent Janssen,226537
Wout Weghorst,223689
Jordan Pickford,204935
Nick Pope,203841
Aaron Ramsdale,233934
Trent Alexander-Arnold,231281
Conor Coady,202048
Eric Dier,202335
Harry Maguire,203263
Luke Shaw,205988
John Stones,203574
Kieran Trippier,186345
Kyle Walker,188377
Conor Gallagher,238216
Jordan Henderson,183711
Mason Mount,233064
Kalvin Phillips,224081
Declan Rice,234378
Jack Grealish,206517
Harry Kane,202126
James Maddison,220697
Marcus Rashford,231677
Bukayo Saka,246669
Raheem Sterling,202652
Callum Wilson,196978
Alisson,212831
Ederson,210257
Thiago Silva,164240
Marquinhos,207865
Danilo,199946
Alex Sandro,191043
Eder Militao,240130
Alex Telles,212462
Bremer,239580
Casemiro,200145
Lucas Paqueta,233927
Fabinho,209499
Fred,209297
Bruno Guimaraes,247851
Gabriel Jesus,230666
Richarlison,231943
Vinicius Jr,238794
Antony,263947
Raphinha,233419
Rodrygo,243812
Pedro,264387
Diogo Costa,234577
Rui Patricio,178005
Jose Sa,212442
Diogo Dalot,234574
Danilo Pereira,200888
Pepe,239950
Ruben Dias,239818
Nuno Mendes,252145
Joao Cancelo,210514
Ruben Neves,224293
Bernardo Silva,218667
Bruno Fernandes,212198
Joao Mario,257290
Matheus Nunes,253124
Otavio,222715
William Carvalho,207566
Vitinha,263829
Andre Silva,242448
Cristiano Ronaldo 🐐,20801
Goncalo Ramos,256903
Joao Felix,242444
Rafael Leao,241721
Ricardo Horta,213516
Milos Degenek,229585
Fran Karacic,243473
Nathaniel Atkinson,241861
Ajdin Hrustic,237647
Keanu Baccus,237005
Jamie Maclaren,212232
Marco Tilio,246009
Cameron Carter-Vickers,228174
Aaron Long,222123
Antonee Robinson,229348
Jesús Ferreira,241487
Jordan Morris,226035
Haji Wright,238743
Jan Bednarek,220570
Robert Gumny,233409
Artur Jedrzejczyk,177790
Mateusz Wieteska,224302
Bartosz Bereszynski,199763
Matty Cash,227174
Nicola Zalewski,262113
Krystian Bielik,224763
Kamil Grosicki,177922
Grzegorz Krychowiak,197242
Jakub Kaminski,252495
Sebastian Szymanski,235973
Robert Lewandowski,188545
Krzysztof Piatek,223113
Karol Swiderski,224301
Edouard Mendy,234642
Formose Mendy,259215
Kalidou Koulibaly,201024
Abdou Diallo,225711
Fode Ballo-Toure,236723
Youssouf Sabaly,215699
Pape Matar Sarr,259868
Nampalys Mendy,198861
Krepin Diatta,238227
Moustapha Name,256692
Boulaye Dia,246242
Famara Diedhiou,223283
Hong Chul,199236
Robert Sanchez,228789
David Raya,220901
Unai Simon,230869
Jordi Alba,189332
Hugo Guillamon,246352
Eric Garcia,245037
Aymeric Laporte,212218
Sergio Busquets,189511
Marcos Llorente,226161
Pedri,251854
Rodri,259681
Koke,193747
Gavi,264240
Carlos Soler,234153
Yeremy Pino,259377
Ferran Torres,241461
Marco Asensio,220834
Pablo Sarabia,198950
Dani Olmo,244260
Nico Williams,256516
Ansu Fati,253004
Yann Sommer,177683
Jonas Omlin,223550
Gregor Kobel,235073
Philipp Kohn,239364
Nico Elvedi,221491
Xherdan Shaqiri,193348
Granit Xhaka,199503
Djibril Sow,229752
Renato Steffen,210537
Fabian Frei,183346
Michel Aebischer,236898
Ardon Jashari,257186
Fabian Rieder,259306
Haris Seferovic,193408
Christian Fassnacht,234913
Jeremy Sarmiento,263522
Morteza Pouraliganji,227921
Sadegh Moharrami,244259
Alireza Jahanbakhsh,215871
Saman Ghoddos,231949
Ali Gholizadeh,243551
Ali Karimi,241793
Karim Ansarifard,197136
Mehdi Taremi,241788
Danny Ward,194319
Ben Davies,213017
Joe Rodon,229266
Ethan Ampadu,235735
Neco Williams,243057
Connor Roberts,225147
Sorba Thomas,260478
Matthew Smith,233950
Harry Wilson,220710
Aaron Ramsey,186561
