player_name,sticker,team,code_prefix,code_number,source_line
Emiliano Martínez,ARG3,Argentina,ARG,3,ARG3 Emiliano Martínez - Argentina
Franco Armani,ARG4,Argentina,ARG,4,ARG4 Franco Armani - Argentina
Marcos Acuña,ARG5,Argentina,ARG,5,ARG5 Marcos Acuña - Argentina
Nahuel Molina,ARG6,Argentina,ARG,6,ARG6 Nahuel Molina - Argentina
Nicolás Otamendi,ARG7,Argentina,ARG,7,ARG7 Nicolás Otamendi - Argentina
Germán Pezzella,ARG8,Argentina,ARG,8,ARG8 Germán Pezzella - Argentina
Cristian Romero,ARG9,Argentina,ARG,9,ARG9 Cristian Romero - Argentina
Rodrigo De Paul,ARG10,Argentina,ARG,10,ARG10 Rodrigo De Paul - Argentina
Ángel Di María,ARG11,Argentina,ARG,11,ARG11 Ángel Di María - Argentina
Giovani Lo Celso,ARG12,Argentina,ARG,12,ARG12 Giovani Lo Celso - Argentina
Leandro Paredes,ARG13,Argentina,ARG,13,ARG13 Leandro Paredes - Argentina
Guido Rodríguez,ARG14,Argentina,ARG,14,ARG14 Guido Rodríguez - Argentina
Julián Álvarez,ARG15,Argentina,ARG,15,ARG15 Julián Álvarez - Argentina
Joaquín Correa,ARG16,Argentina,ARG,16,ARG16 Joaquín Correa - Argentina
Alejandro Gómez,ARG17,Argentina,ARG,17,ARG17 Alejandro Gómez - Argentina
Nicolás González,ARG18,Argentina,ARG,18,ARG18 Nicolás González - Argentina
Lautaro Martínez,ARG19,Argentina,ARG,19,ARG19 Lautaro Martínez - Argentina
Lionel Messi,ARG20,Argentina,ARG,20,ARG20 Lionel Messi - Argentina
Mathew Ryan,AUS3,Australia,AUS,3,AUS3 Mathew Ryan - Australia
Andrew Redmayne,AUS4,Australia,AUS,4,AUS4 Andrew Redmayne - Australia
Aziz Behich,AUS5,Australia,AUS,5,AUS5 Aziz Behich - Australia
Miloš Degenek,AUS6,Australia,AUS,6,AUS6 Miloš Degenek - Australia
Rhyan Grant,AUS7,Australia,AUS,7,AUS7 Rhyan Grant - Australia
Joel King,AUS8,Australia,AUS,8,AUS8 Joel King - Australia
Trent Sainsbury,AUS9,Australia,AUS,9,AUS9 Trent Sainsbury - Australia
Harry Souttar,AUS10,Australia,AUS,10,AUS10 Harry Souttar - Australia
Ajdin Hrustić,AUS11,Australia,AUS,11,AUS11 Ajdin Hrustić - Australia
Jackson Irvine,AUS12,Australia,AUS,12,AUS12 Jackson Irvine - Australia
James Jeggo,AUS13,Australia,AUS,13,AUS13 James Jeggo - Australia
Awer Mabil,AUS14,Australia,AUS,14,AUS14 Awer Mabil - Australia
Aaron Mooy,AUS15,Australia,AUS,15,AUS15 Aaron Mooy - Australia
Martin Boyle,AUS16,Australia,AUS,16,AUS16 Martin Boyle - Australia
Mitchell Duke,AUS17,Australia,AUS,17,AUS17 Mitchell Duke - Australia
Craig Goodwin,AUS18,Australia,AUS,18,AUS18 Craig Goodwin - Australia
Mathew Leckie,AUS19,Australia,AUS,19,AUS19 Mathew Leckie - Australia
Adam Taggart,AUS20,Australia,AUS,20,AUS20 Adam Taggart - Australia
Thibaut Courtois,BEL3,Belgium,BEL,3,BEL3 Thibaut Courtois - Belgium
Simon Mignolet,BEL4,Belgium,BEL,4,BEL4 Simon Mignolet - Belgium
Toby Alderweireld,BEL5,Belgium,BEL,5,BEL5 Toby Alderweireld - Belgium
Timothy Castagne,BEL6,Belgium,BEL,6,BEL6 Timothy Castagne - Belgium
Jason Denayer,BEL7,Belgium,BEL,7,BEL7 Jason Denayer - Belgium
Thomas Meunier,BEL8,Belgium,BEL,8,BEL8 Thomas Meunier - Belgium
