sofifa_id,sticker_id,player_name,team,position,birth_year
222123,USA6,Aaron Long,United States,DF,1992
233934,ENG4,Aaron Ramsdale,England,GK,1998
186561,WAL14,Aaron Ramsey,Wales,MF,1990
225711,SEN7,Abdou Diallo,Senegal,DF,1996
235212,MAR6,Achraf Hakimi Mouh,Morocco,DF,1998
210008,FRA13,Adrien Rabiot,France,MF,1995
215716,SRB18,Aleksandar Mitrović,Serbia,FW,1994
191043,BRA5,Alex Sandro Lobo Silva,Brazil,DF,1991
212219,GHA7,Alexander Djiku,Ghana,DF,1994
156433,BRA13,Alfredo Talavera Díaz,Mexico,GK,1982
243551,IRN14,Ali Gholizadeh,IR Iran,MF,1996
215871,IRN15,Alireza Jahanbakhsh,IR Iran,MF,1993
212831,BRA3,Alisson Ramsés Becker,Brazil,GK,1992
256107,CAN7,Alistair Johnston,Canada,DF,1998
237419,IRN3,Amir Abedzadeh,IR Iran,GK,1993
240017,DEN19,Andreas Skov Olsen,Denmark,FW,1999
216354,CRO18,Andrej Kramarić,Croatia,FW,1991
220746,SRB16,Andrija Živković,Serbia,DF,1996
171897,MEX13,José Andrés Guardado Hernández,Mexico,MF,1986
194765,FRA18,Antoine Griezmann,France,MF,1991
229348,USA8,Antonee Robinson,United States,DF,1997
205452,DFB9,Antonio Rüdiger,Germany,DF,1993
255475,BRA15,Antony Matheus dos Santos,Brazil,FW,2000
134744,CAN14,Atiba Hutchinson,Canada,MF,1983
241637,FRA14,Aurélien Tchouaméni,France,MF,2000
177413,BEL16,Axel Witsel,Belgium,MF,1989
212218,ESP8,Aymeric Laporte,Spain,DF,1994
241412,ECU19,Eduar Ayrton Preciado García,Ecuador,MF,1994
199763,POL6,Bartosz Bereszyński,Poland,DF,1992
213017,WAL6,Ben Davies,Wales,DF,1993
226851,FRA9,Benjamin Pavard,France,DF,1996
243388,CRO9,Borna Sosa,Croatia,DF,1998
246242,SEN16,Boulaye Dia,Senegal,FW,1996
247851,ESP14,Bruno Guimarães Rodriguez Moura,Brazil,MF,1997
246669,ENG19,Bukayo Saka,England,FW,2001
251470,BEL12,Charles De Ketelaere,Belgium,FW,2001
186801,SEN14,Cheikhou Kouyaté,Senegal,MF,1989
225147,WAL9,Connor Roberts,Wales,DF,1995
202048,ENG6,Conor Coady,England,DF,1993
20801,POR18,Cristiano Ronaldo dos Santos Aveiro,Portugal,FW,1985
184432,ESP5,César Azpilicueta Tanco,Spain,DF,1989
190815,NED5,Daley Blind,Netherlands,DF,1990
212883,GHA5,Daniel Amartey,Ghana,DF,1994
232104,WAL18,Daniel James,Wales,FW,1997
172522,DEN15,Daniel Wass,Denmark,DF,1989
199304,BRA6,Danilo Luiz da Silva,Brazil,DF,1991
239881,BRA6,Danilo Pereira Da Silva,Portugal,DF,1991
207998,WAL3,Danny Ward,Wales,GK,1993
212127,SRB11,Darko Lazović,Serbia,DF,1990
236703,DFB12,David Raum,Germany,DF,1998
203483,NED13,Davy Klaassen,Netherlands,MF,1993
234378,ENG16,Declan Rice,England,MF,1999
229752,SUI13,Djibril Sow,Switzerland,MF,1997
199206,CRO10,Domagoj Vida,Croatia,DF,1989
241671,CRO3,Dominik Livaković,Croatia,GK,1995
175943,BEL20,Dries Mertens,Belgium,MF,1987
199434,SRB19,Dušan Tadić,Serbia,MF,1988
246430,SRB20,Dušan Vlahović,Serbia,FW,2000
183277,BEL18,Eden Hazard,Belgium,MF,1991
210257,BRA4,Ederson Santana de Moraes,Brazil,GK,1993
202811,ARG3,Damián Emiliano Martínez,Argentina,GK,1992
